claim_id,candidate_claim,mandatory_w7_families,pre_w7_state,gate_f_rule
C-01,V2 provides broader pharmaceutical-ecosystem concept coverage than V1,"W7-E7;W7-E8",pending_comparative_evaluation,"support only if comparable denominators and V1-to-V2 delta are evidenced; otherwise bound/defer"
C-02,V2 is data-grounded rather than scenario-grounded,"W7-E6;W7-E7",design_supported_empirical_realization_pending,"requires admitted-data mapping/coverage evidence; fixture-only evidence is insufficient for unrestricted wording"
C-03,UFO/OntoUML commitments are explicit and systematically preserved,"W7-E3;W7-E2",formally_supported_reconfirm,"no unresolved critical conceptual anti-pattern; protected distinctions preserved"
C-04,Ontology relational database and KG preserve traceable semantics,"W7-E10;W7-E13",w6_fixture_supported,"mandatory mappings and paired benchmarks pass; reproducibility audit passes; scope bound to evaluated representations"
C-05,V2 supports cross-jurisdiction generalizable representation,W7-E8,pending_held_out,"requires clean first-pass held-out evidence; wording bounded to evaluated jurisdictions/sources"
C-06,Selected analytics and resilience use cases can be reproducibly executed,"W7-E11;W7-E12;W7-E13",pending_application_evaluation,"support per eligible task only; unsupported tasks deferred"
C-07,Cross-source identity organization/facility geography/jurisdiction time and provenance are material integration needs,"W7-E6;W7-E7;W7-E8",bounded_design_need,"support as evaluated integration need where source evidence demonstrates it"
C-08,Geospatial actor/facility integration is a defensible research demonstrator,"W7-E10;W7-E12",rationale_supported_evaluation_pending,"requires representability/query/provenance evidence; effectiveness remains W8/application claim"
C-09,Critical-medicine supply vulnerability/resilience is a defensible demonstrator,W7-E12,rationale_supported_evaluation_pending,"requires scenario evidence and explicit missing-supply-data boundary"
C-10,AI opportunities require benchmarks and should not be novelty claims by default,W7-E11,bounded_policy_supported,"AI novelty only if eligible benchmarked task passes; otherwise retain as design/future rule"
C-11,V2 uses multi-source discovery rather than one dataset schema as ontology specification,"W7-E6;W7-E7",research_design_supported,"reconfirm through per-source mapping/coverage diversity; not a performance claim"
C-12,External sources were reserved before Core discovery for later generalizability evaluation,W7-E8,design_supported,"held-out contamination log must remain clean and first-pass results precede adaptation"
C-13,Current public evidence does not justify complete global product-supplier-buyer-shipment reconstruction,"W7-E7;W7-E8",limitation_supported,"retain unless evaluation provides contrary evidence; do not convert absence into universal impossibility"
C-14,DOI-backed empirical anchors and authoritative operational sources play complementary roles,W7-E6,source_role_design_supported,"support with distinct mapping/provenance evidence by source role"
C-15,V2 distinguishes Organization contextual Role and physical Facility,"W7-E3;W7-E10",conceptually_formally_supported,"distinction must remain explicit across conceptual/formal/RDB/KG representations"
C-16,V2 distinguishes Medicinal Product Substance Presentation Form Strength and Package semantics,"W7-E3;W7-E6;W7-E7",conceptually_formally_supported,"critical distinctions preserved and evidenced by mapped source concepts where available"
C-17,Essential/Critical medicine classifications are contextual rather than intrinsic rigid Product kinds,"W7-E3;W7-E6",conceptually_formally_supported,"contextual-assignment pattern passes conceptual review and source mapping does not require intrinsic reclassification"
C-18,Shortage availability demand and supply evidence requires explicit context and evidence semantics,"W7-E3;W7-E5;W7-E6",conceptually_formally_supported,"data conformance and mappings demonstrate explicit context/provenance where evaluated"
C-19,Provenance identifier schemes and mapping assertions are first-class V2 infrastructure,"W7-E6;W7-E10;W7-E13",w6_fixture_supported,"provenance/mapping completeness and rebuild evidence pass"
C-20,Business Architecture is an optional analytical extension rather than V2 Core decomposition,W7-E3,architecture_supported,"conceptual architecture remains consistent; no empirical performance requirement"
C-21,Regulatory registration/authorization is separate from source records documents and identifiers,"W7-E3;W7-E6",conceptually_formally_supported,"distinction preserved; mappings classify each relevant source field without collapse"
C-22,Observation Activity and Observation Result are distinct,"W7-E3;W7-E5;W7-E6",conceptually_formally_supported,"conceptual distinction preserved; data mappings do not fabricate an activity when only aggregate result evidence exists"
C-23,Supply Capacity is distinct from evidence about Supply Capacity,"W7-E3;W7-E5;W7-E6",conceptually_formally_supported,"Mode/evidence distinction preserved and evaluated data does not collapse claim/evidence"
C-24,Risk/Resilience remains a modular extension rather than duplicated Core,"W7-E3;W7-E12",architecture_supported,"module boundary preserved; scenario evaluation does not require Core duplication"
C-25,W5 formal ontology is reproducibly generated from controlled modular Turtle,"W7-E1;W7-E13",w5_supported,"frozen baseline/regeneration and clean rebuild pass"
C-26,W5 satisfies selected OWL 2 DL profile and is logically processable,"W7-E2;W7-E13",w5_supported,"profile/consistency/reasoner evidence passes on current axiom set; claim remains bounded"
C-27,W5 serializations represent the same asserted RDF graph,"W7-E1;W7-E13",w5_supported,"graph equivalence and independent rebuild pass"
C-28,W5 SHACL research-integrity shapes are executable,"W7-E5;W7-E13",w5_supported,"executed SHACL reports and rebuild audit pass; shape executability is distinct from universal data conformance"
