relation_id,concept_id,relation_role
CMPE-R0001,CMPE-C0001,source
CMPE-R0001,CMPE-C0003,target
CMPE-R0002,CMPE-C0003,source
CMPE-R0002,CMPE-C0025,target
CMPE-R0003,CMPE-C0002,source
CMPE-R0003,CMPE-C0001,target
CMPE-R0004,CMPE-C0005,source
CMPE-R0004,CMPE-C0001,target
CMPE-R0005,CMPE-C0006,source
CMPE-R0005,CMPE-C0002,target
CMPE-R0006,CMPE-C0007,source
CMPE-R0006,CMPE-C0003,target
CMPE-R0007,CMPE-C0008,source
CMPE-R0007,CMPE-C0009,target
CMPE-R0008,CMPE-C0039,source
CMPE-R0008,CMPE-C0010,target
CMPE-R0009,CMPE-C0008,source
CMPE-R0009,CMPE-C0011,target
CMPE-R0010,CMPE-C0012,source
CMPE-R0010,CMPE-C0013,target
CMPE-R0011,CMPE-C0008,source
CMPE-R0011,CMPE-C0014,target
CMPE-R0012,CMPE-C0015,source
CMPE-R0012,CMPE-C0003,target
CMPE-R0013,CMPE-C0016,source
CMPE-R0013,CMPE-C0015,target
CMPE-R0014,CMPE-C0017,source
CMPE-R0014,CMPE-C0018,target
CMPE-R0015,CMPE-C0019,source
CMPE-R0015,CMPE-C0018,target
CMPE-R0016,CMPE-C0020,source
CMPE-R0016,CMPE-C0021,target
CMPE-R0017,CMPE-C0022,source
CMPE-R0017,CMPE-C0021,target
CMPE-R0018,CMPE-C0023,source
CMPE-R0018,CMPE-C0024,target
CMPE-R0019,CMPE-C0024,source
CMPE-R0019,CMPE-C0004,target
CMPE-R0020,CMPE-C0026,source
CMPE-R0020,CMPE-C0004,target
CMPE-R0021,CMPE-C0027,source
CMPE-R0021,CMPE-C0026,target
CMPE-R0022,CMPE-C0028,source
CMPE-R0022,CMPE-C0027,target
CMPE-R0023,CMPE-C0029,source
CMPE-R0023,CMPE-C0015,target
CMPE-R0024,CMPE-C0032,source
CMPE-R0024,CMPE-C0031,target
CMPE-R0025,CMPE-C0033,source
CMPE-R0025,CMPE-C0034,target
CMPE-R0026,CMPE-C0035,source
CMPE-R0026,CMPE-C0018,target
CMPE-R0027,CMPE-C0008,source
CMPE-R0027,CMPE-C0014,target
CMPE-R0028,CMPE-C0032,source
CMPE-R0028,CMPE-C0001,target
CMPE-R0029,CMPE-C0018,source
CMPE-R0029,CMPE-C0015,target
CMPE-R0030,CMPE-C0034,source
CMPE-R0030,CMPE-C0018,target
CMPE-R0031,CMPE-C0036,source
CMPE-R0031,CMPE-C0037,target
CMPE-R0032,CMPE-C0038,source
CMPE-R0032,CMPE-C0036,target
CMPE-R0033,CMPE-C0038,source
CMPE-R0033,CMPE-C0001,target
CMPE-R0034,CMPE-C0038,source
CMPE-R0034,CMPE-C0028,target
CMPE-R0035,CMPE-C0037,source
CMPE-R0035,CMPE-C0022,target
CMPE-R0036,CMPE-C0009,source
CMPE-R0036,CMPE-C0013,target
CMPE-R0037,CMPE-C0033,source
CMPE-R0037,CMPE-C0017,target
CMPE-R0038,CMPE-C0030,source
CMPE-R0038,CMPE-C0016,target
CMPE-R0039,CMPE-C0009,source
CMPE-R0039,CMPE-C0039,target
CMPE-R0040,CMPE-C0001,source
CMPE-R0040,CMPE-C0014,target
