mapping_id,source_id,source_role,source_field,in_scope,mapping_status,critical_for_principal_claim,semantic_interpretation,ontology_targets,rdb_targets,kg_projection,transformation_rule,provenance_rule,semantic_loss,rationale,manual_audit
P1-F01,P1-NHIF-OUTPATIENT,primary,region_num,true,derived,true,"NHIF administrative-region code used as a controlled geography-resolution key","cmpe:AdministrativeRegion","geography.source_region_code; geography_alias.source_value; observation_result.geography_id","AdministrativeRegion instance; dct:spatial on observation results","Resolve through the frozen NHIF geography alias table; never treat the source code as globally unique geography identity","DatasetRelease -> SourceRecord; row hash retained; downstream ObservationResult prov:wasDerivedFrom SourceRecord",low,"Preserves region semantics while separating source code from canonical geographic identity",PASS
P1-F02,P1-NHIF-OUTPATIENT,primary,region_name,true,bounded,true,"Source region label used as an alias/canonicalization input for an AdministrativeRegion","cmpe:AdministrativeRegion; rdfs:label","geography_alias.source_value; geography.canonical_name","rdfs:label on normalized geography","Normalize whitespace/case and resolve to the canonical geography record","DatasetRelease -> SourceRecord; row hash retained; geography used by provenance-linked observations",low,"Source label is descriptive evidence, not a stable identity key",PASS
P1-F03,P1-NHIF-OUTPATIENT,primary,atc_code,true,direct,true,"ATC classification code for the medicinal-product classification assignment","cmpe:ProductClassificationScheme; cmpe:ClassificationEntry; cmpe:ProductClassificationAssignment","product_classification_scheme; classification_entry.code; product_classification_assignment","RDB-mapped; classification ABox projection not yet emitted by W6 KG exporter","Create/reuse ATC scheme and classification entry; assign the normalized medicinal product to the entry","ProductClassificationAssignment.source_record_id links the assignment to the source record",medium,"Direct classification semantics are preserved, but the current W6 KG projection does not yet materialize the classification assignment",PASS
P1-F04,P1-NHIF-OUTPATIENT,primary,atc_name,true,ambiguous,false,"Official/source ATC label; additionally used by the current adapter only as a provisional source-label input for substance normalization","cmpe:ClassificationEntry; cmpe:PharmaceuticalSubstance (provisional source-label use)","classification_entry.label; pharmaceutical_substance.preferred_name","Substance label projected; classification label/assignment not yet projected","Preserve ATC label as classification evidence; any substance interpretation remains explicitly provisional until independently identified","SourceRecord retained for both classification assignment and normalized product/substance construction",medium,"An ATC label is not guaranteed to be a validated active-substance identity; strong substance-identity claims must not rely on this field alone",PASS
P1-F05,P1-NHIF-OUTPATIENT,primary,nhif_code,true,direct,true,"NHIF product/presentation code represented as a scheme-scoped identifier assignment","cmpe:IdentifierScheme; cmpe:IdentifierAssignment; cmpe:identifierLexicalValue; cmpe:MedicinalProductPresentation","identifier_scheme; identifier_assignment.lexical_value; identifier_assignment.entity_public_id","IdentifierAssignment + lexical value + presentation target","Assign the lexical code to the normalized presentation under the NHIF product-code scheme","IdentifierAssignment.source_record_id; RDF prov:wasDerivedFrom SourceRecord",none,"Identifier is separated from entity identity and remains scheme-scoped",PASS
P1-F06,P1-NHIF-OUTPATIENT,primary,market_name,true,derived,true,"Marketed product name used as a normalized medicinal-product label and one component of source-derived product identity","cmpe:MedicinalProduct; rdfs:label","medicinal_product.preferred_name; medicinal_product.public_id","MedicinalProduct instance with rdfs:label","Normalize the market name and combine with the provisional substance key to derive a deterministic source-level product public ID","Product and observations remain traceable through source-derived identifiers and SourceRecord-linked assertions",low,"The name is not asserted as a universal product identifier; identity remains source-normalized and bounded",PASS
P1-F07,P1-NHIF-OUTPATIENT,primary,packaging,true,bounded,true,"Packaging description contributing to product-presentation identity and relational attributes","cmpe:MedicinalProductPresentation","product_presentation.packaging","RDB only in current W6 ABox; presentation node exists without explicit packaging predicate","Normalize packaging text and include it in the deterministic presentation key","Presentation derives from the source row; row-level provenance is retained through linked identifier/observation/assertion structures",medium,"Presentation semantics are retained relationally, but explicit OWL/RDF packaging semantics are not yet projected",PASS
P1-F08,P1-NHIF-OUTPATIENT,primary,concentration,true,bounded,true,"Source concentration/strength text contributing to presentation identity","cmpe:MedicinalProductPresentation; cmpe:Strength (conceptual target)","product_presentation.concentration","RDB only in current W6 ABox; no explicit Strength individual/property emitted","Normalize source text and include it in the deterministic presentation key","SourceRecord and deterministic presentation construction retain traceability",medium,"Current implementation preserves the source value but does not yet decompose it into a formal Strength structure",PASS
P1-F09,P1-NHIF-OUTPATIENT,primary,num_in_pack,true,bounded,true,"Number of units per source package/presentation","cmpe:MedicinalProductPresentation; cmpe:PackageConfiguration (conceptual target)","product_presentation.num_in_pack","RDB only in current W6 ABox","Retain lexical package count and include it in presentation identity derivation","SourceRecord and deterministic presentation construction retain traceability",medium,"Value is retained but not yet formalized as a separate package-configuration assertion in RDF",PASS
P1-F10,P1-NHIF-OUTPATIENT,primary,icd_code,true,bounded,false,"Diagnosis classification code associated with the reimbursement record","cmpe:DiagnosisClassificationReference","diagnosis_reference.code; observation_result.diagnosis_reference_id","RDB only in current W6 ABox","Create/reuse an ICD-10 diagnosis-reference record","ObservationResult/source row preserves the relational link and SourceRecord provenance",medium,"Diagnosis reference is represented relationally but not yet projected to the W6 RDF ABox",PASS
