requirement_id,status,ontology_targets,mismatch_category,adaptation_pressure,rationale
H1-C01,unseen,,domain-scope-extension,clinical-trials-extension,"No ClinicalStudy/ClinicalTrial type exists in the frozen model."
H1-C02,exact,Organization,none,none,"Sponsor is representable as an Organization; sponsor-specific role semantics remain relation-dependent."
H1-C03,exact,Facility,none,none,"AACT trial site maps to Facility without conflating Organization."
H1-C04,exact,Country|GeographicFeature,none,none,"Country/location semantics are represented in X-INFRA."
H1-C05,partial,MedicinalProduct|PharmaceuticalSubstance|MedicinalProductPresentation,scope-granularity,clinical-trials-extension,"Pharmaceutical interventions can be represented, but generic ClinicalTrials.gov interventions also include non-pharmaceutical interventions and intervention context is absent."
H1-C06,partial,DiagnosisClassificationReference,scope-granularity,clinical-trials-extension,"A coded diagnosis reference is available, but a general study-condition entity is not."
H1-C07,unseen,,domain-scope-extension,clinical-trials-extension,"Generic ObservationResult is not treated as equivalent to a clinical study outcome."
H1-C08,unseen,,domain-scope-extension,clinical-trials-extension,"No study arm/group type is present."
H1-C09,unseen,,domain-scope-extension,clinical-trials-extension,"No clinical study phase semantic type is present."
H1-C10,unseen,,domain-scope-extension,clinical-trials-extension,"No explicit clinical-study lifecycle status semantic type is present."
H1-C11,partial,ObservationResult|MeasureValue,scope-granularity,clinical-trials-extension,"Aggregate counts can be represented generically, but trial-enrollment semantics are not explicit."
H1-R01,unseen,,missing-relation,clinical-trials-extension,"No Study-Sponsor relation exists because Study is absent."
H1-R02,unseen,,missing-relation,clinical-trials-extension,"No Study-conducted-at-Facility relation exists."
H1-R03,exact,locatedIn,none,none,"Facility/geography relation is directly available."
H1-R04,unseen,,missing-relation,clinical-trials-extension,"No Study-investigates-Intervention relation exists."
H1-R05,unseen,,missing-relation,clinical-trials-extension,"No Study-concerns-Condition relation exists."
H1-R06,unseen,,missing-relation,clinical-trials-extension,"No Study-has-Outcome relation exists."
H1-R07,unseen,,missing-relation,clinical-trials-extension,"No Study-has-Arm/Group relation exists."
H1-R08,unseen,,missing-relation,clinical-trials-extension,"No Study-phase/status relation exists."
H2-C01,exact,MedicineShortageSituation,none,none,"The held-out shortage case is directly representable as a time/context-bounded shortage situation."
H2-C02,exact,MedicinalProduct,none,none,"Product semantics are directly represented."
H2-C03,exact,PharmaceuticalSubstance,none,none,"Generic/substance semantics are directly represented."
H2-C04,exact,MedicinalProductPresentation|IdentifierAssignment,none,none,"Presentation/package identity and source identifiers are available."
H2-C05,exact,Organization,none,none,"Company is representable as Organization."
H2-C06,partial,AvailabilityObservationResult,source-report-vs-domain,shortage-refinement,"Availability is representable as an observation result, but the source field may be a report/status string rather than an independently modeled observation activity/result pair."
H2-C07,partial,Assertion|SourceRecord,source-report-vs-domain,shortage-refinement,"Shortage reason can be retained as evidence/assertion text but has no dedicated domain reason type."
H2-C08,exact,ProductClassificationScheme|ClassificationEntry,none,none,"Therapeutic categories fit the classification pattern."
H2-C09,exact,DosageFormSpecification,none,none,"Dosage-form semantics are directly represented."
H2-C10,exact,Strength,none,none,"Strength semantics are directly represented."
H2-C11,partial,MedicineShortageSituation|Assertion,source-report-vs-domain,shortage-refinement,"Shortage lifecycle status/update state lacks a dedicated status pattern."
H2-R01,exact,shortageProduct,none,none,"Dedicated shortage-to-product relation exists."
H2-R02,exact,shortagePresentation,none,none,"Dedicated shortage-to-presentation relation exists."
H2-R03,partial,Organization|SourceRecord|MarketListing,missing-relation,shortage-refinement,"Organization/product/source semantics exist, but no dedicated company-to-shortage reporting/affected-product relation captures the source field exactly."
H2-R04,partial,Assertion|DisruptionEvent,missing-relation,shortage-refinement,"No explicit shortage-has-reason/cause property exists."
H2-R05,exact,ProductClassificationAssignment|classificationEntry,none,none,"Product/category assignment is represented."
H2-R06,partial,validFrom|validTo|ProvenanceActivity,source-report-vs-domain,shortage-refinement,"Temporal primitives exist, but initial posting, update, change and discontinuation dates have distinct source/provenance semantics not fully typed."
H2-R07,exact,shortageJurisdiction,none,none,"Shortage is explicitly jurisdiction-contextualized."
H3-C01,exact,EssentialMedicineClassification,none,none,"Essential-medicine status is contextual rather than an intrinsic medicinal-product kind."
H3-C02,partial,MedicinalProduct|PharmaceuticalSubstance,identity-granularity,essential-medicines-refinement,"NLEM entries are often medicine/active-moiety level rather than marketed-product identity; mapping must preserve this ambiguity."
H3-C03,exact,DosageFormSpecification,none,none,"Dosage-form semantics are directly represented."
H3-C04,exact,Strength,none,none,"Strength semantics are directly represented."
H3-C05,exact,ProductClassificationScheme|ClassificationEntry|DatasetRelease,none,none,"List/scheme/version can be represented using classification and release infrastructure."
H3-C06,exact,RegulatoryJurisdiction|Country,none,none,"India can be represented as a country and as the distinct jurisdictional context of the list."
H3-C07,exact,ProductClassificationScheme|ClassificationEntry,none,none,"Therapeutic sections fit the classification pattern."
