cq_id,held_out_id,question,criticality
H1-CQ01,H1,"Can a trial site be represented as a Facility linked to geography without conflating Facility and Organization?",high
H1-CQ02,H1,"Can the ontology represent a clinical study and its sponsor as an explicit study-sponsorship relation?",high
H1-CQ03,H1,"Can a pharmaceutical intervention be represented without collapsing medicinal product substance and presentation?",high
H1-CQ04,H1,"Can the ontology explicitly represent trial outcome semantics distinct from generic observation results?",medium
H2-CQ01,H2,"Can a shortage situation be linked to the affected medicinal product?",high
H2-CQ02,H2,"Can a shortage be linked to an affected presentation or package context?",high
H2-CQ03,H2,"Can a shortage reason be represented as an explicit domain relation rather than only source-record text?",medium
H2-CQ04,H2,"Can shortage lifecycle status and dates be represented with explicit domain semantics?",high
H3-CQ01,H3,"Can essential-medicine status be represented as a contextual classification rather than an intrinsic drug kind?",high
H3-CQ02,H3,"Can essential-medicine classification be scoped to India as a jurisdictional context?",high
H3-CQ03,H3,"Can NLEM medicine formulations preserve dosage-form and strength distinctions?",high
H3-CQ04,H3,"Can medicine applicability to Primary Secondary and Tertiary healthcare levels be represented explicitly?",medium
