family_id,issue,evidence_family,primary_target,predefined_measures,mandatory_gate_condition,evidence_class,status_before_execution
W7-E1,90,Syntactic structural and ontology quality,OWL source serializations registry traceability,"parse success; graph regression/isomorphism; undefined internal terms; namespace hygiene; structural counts; traceability resolution; protected distinctions","all authoritative/generated serializations parse; frozen fingerprint preserved absent intended change; zero unresolved internal CMPE terms; protected distinctions intact",formal/computational,PROTOCOL_FROZEN
W7-E2,91,Logical and profile evaluation,Asserted OWL and reasoned views,"OWL 2 DL profile; consistency; unsatisfiable classes; hierarchy sanity; multi-reasoner agreement","profile PASS; consistent; zero unintended unsatisfiable named classes; disagreements investigated",formal/computational,PROTOCOL_FROZEN
W7-E3,92,UFO OntoUML pattern and anti-pattern evaluation,Gate-D conceptual model and W5 projection,"stereotype/pattern consistency; Relator mediation; category distinctions; anti-pattern checklist","no unresolved critical anti-pattern affecting principal claims; eight protected distinctions explicit",formal/computational,PROTOCOL_FROZEN
W7-E4,93,Positive and negative competency questions,Ontology plus evaluation KGs,"mandatory positive CQ agreement; negative CQ outcome; term traceability; reproducibility","all mandatory frozen CQs match expected outcomes",formal/computational,PROTOCOL_FROZEN
W7-E5,94,SHACL and data conformance,Fixture real and held-out instance graphs,"conforms; violations by shape/severity; provenance completeness; sampled violation review","fixture conforms; critical real/held-out violations affecting a claim must be resolved or claim bounded",fixture-regression,PROTOCOL_FROZEN
W7-E6,95,Dataset-to-ontology mapping quality,Admitted source contracts mappings and populated data,"mapping-status classification; mapped proportion; critical-field coverage; semantic loss; provenance linkage","100% in-scope fields classified; no critical claim field silently unmapped",admitted-real-data,PROTOCOL_FROZEN
W7-E7,96,Concept and relation coverage,Admitted source families and V1/V2 comparison,"concept coverage; relation coverage; layer coverage; incremental source coverage; gaps; V1-to-V2 delta","explicit denominator/extraction basis; all critical gaps enumerated; no global completeness inference",admitted-real-data,PROTOCOL_FROZEN
W7-E8,97,Held-out and cross-jurisdiction generalizability,H1 H2 H3 protected sources,"first-pass mapping success; unseen concepts/relations; extension pressure; held-out CQs; mismatch taxonomy","first-pass captured before adaptation; clean contamination log; adaptation reported separately",held-out,PROTOCOL_FROZEN
W7-E9,98,Prospective structured expert evaluation,Conceptual/formal artifacts and representative tasks,"clarity; adequacy; relevance; missing/inappropriate elements; task usefulness; confidence; disagreement","instrument and eligibility frozen before collection; minimum evidence target 5 qualified participants across >=2 expertise profiles or explicit limitation",expert,PROTOCOL_FROZEN
W7-E10,99,Ontology RDB KG semantic consistency,W5 ontology W6 RDB mapping registry and generated KG,"mapping resolution; identity/cardinality/distinction preservation; unknown terms; projection checks; SQL-SPARQL equivalence","zero unknown CMPE terms; mandatory mappings resolve; all mandatory paired benchmarks agree",formal/computational,PROTOCOL_FROZEN
W7-E11,100,Selected analytics and AI demonstrators,Eligible benchmarked tasks,"baseline delta; task metric; error analysis; provenance visibility; ontology contribution; cost","task must have hypothesis dataset baseline metric and reproducible implementation; otherwise DEFERRED",application-demonstrator,PROTOCOL_FROZEN
W7-E12,101,Pharmaceutical resilience scenarios,Critical-medicine vulnerability and resilience scenarios,"representability; required concepts/relations; CQs; provenance; gap taxonomy; missing-evidence sensitivity","assumptions/sources explicit; no predictive-effectiveness claim without outcome validation",application-demonstrator,PROTOCOL_FROZEN
W7-E13,102,Reproducibility and independent rebuild audit,W5 W6 W7 pipeline,"clean bootstrap; dependency capture; ontology/RDB/KG/report regeneration; deterministic hashes; run agreement","deterministic artifacts reproduce byte-identically or by justified canonical equivalence; deviations documented",formal/computational,PROTOCOL_FROZEN
