evidence_id,topic,source,reported_method,reported_result_or_claim,current_repository_interpretation,evidence_status,b4_target
CMPE-EV001,Model development,Published conference paper,PRISMA-guided SLR plus thematic synthesis and UFO modeling,Five-domain business-architecture-informed ontology-grounded model introduced,Historical development evidence,repository-provenance-recorded,Preserve method lineage
CMPE-EV002,Review selection,Journal manuscript under review,PRISMA-guided review,380 identified; 331 screened after duplicates; 89 full-text; 17 included,Research provenance not recalculated by repository,reported-in-journal-manuscript,Link to method documentation
CMPE-EV003,Structural correctness,Published conference paper,OntoUML validation/inspection,All constructs reported validated,Stronger historical wording retained but not treated as current computational proof,not-yet-reproduced,Tool-supported structural and reasoner checks
CMPE-EV004,Structural correctness,Journal manuscript under review,Focused manual inspection of eight OntoUML-informed anti-pattern categories,No critical issue; two minor issues; one low-risk observation,Bounded manual diagnostic evidence,repository-provenance-recorded,Recheck and expand anti-pattern evidence
CMPE-EV005,Semantic accuracy,Published conference paper,Expert panel review,Experts reported domain relevance,Historical expert evidence,reported-in-published-paper,Normalize alongside later expert evidence
CMPE-EV006,Semantic accuracy,Journal manuscript under review,Qualitative review by four purposively selected experts,Preliminary support with terminology and role-definition clarifications,Current bounded expert-evidence interpretation,repository-provenance-recorded,Create traceable semantic evidence records
CMPE-EV007,Conceptual clarity,Published conference paper,User feedback sessions,Rated clear by 8/10 users,Historical result not independently reproduced,not-yet-reproduced,Do not use as current repository metric without evidence
CMPE-EV008,Conceptual clarity,Journal manuscript under review,Qualitative naming/domain inspection plus expert feedback,Generally interpretable; minor terminology clarification required,No standardized usability or readability measure claimed,superseded-or-narrowed,Terminology consistency checks
CMPE-EV009,Adaptability,Published conference paper,Extension test,Reported easy customization for hospital versus regulator,Historical result lacks repository-reproducible test details,not-yet-reproduced,Define controlled extension test
CMPE-EV010,Adaptability,Journal manuscript under review,Illustrative vaccine-distribution instantiation,Scenario represented without changing five-domain decomposition,Illustrative not experimental evidence,repository-provenance-recorded,Machine-readable scenario and extension tests
CMPE-EV011,Pragmatic value,Published conference paper,Scenario walkthroughs with model users,Participants reported actionable/relevant,Historical publication evidence,not-yet-reproduced,Application evidence with explicit procedures
CMPE-EV012,Pragmatic value,Journal manuscript under review,Analytical mapping to governance requirements architecture and applications,Plausible application pathways identified; adoption and measured benefit not evaluated,Current bounded interpretation,repository-provenance-recorded,Application traceability tests
CMPE-EV013,Competency questions,Journal manuscript under review,Traceability-based assessment of eight author-derived CQs,CQ1-CQ4 addressed; CQ5-CQ6 conceptually addressed; CQ7-CQ8 partially addressed,Internal conceptual coverage evidence; not executable,repository-provenance-recorded,Executable SPARQL where feasible
CMPE-EV014,Scenario benchmark,Journal manuscript under review,Qualitative vaccine-distribution benchmark against selected prior approaches,CM-PharmE reported broader representational coverage in selected comparison,Comparative qualitative judgment not performance measurement,reported-in-journal-manuscript,Preserve rubric and avoid superiority claim
CMPE-EV015,Computational consistency,Journal manuscript under review,Not performed,Computational consistency remains future work,No current full reasoner claim,not-yet-reproduced,Run and record OWL reasoner validation
CMPE-EV016,Standards interoperability,Journal manuscript under review,Conceptual application guidance,FHIR and ISO IDMP identified as possible downstream mappings,No FHIR or IDMP conformance claimed,repository-provenance-recorded,Future explicit mapping validation
