requirement_id,held_out_id,jurisdiction,requirement_type,source_semantics,criticality,evidence_note
H1-C01,H1,global/US-hosted,concept,Clinical study or trial entity,high,"ClinicalTrials.gov/AACT study record"
H1-C02,H1,global/US-hosted,concept,Sponsor or responsible organization,high,"study sponsor/responsible party"
H1-C03,H1,global/US-hosted,concept,Study facility or trial site,high,"AACT facilities"
H1-C04,H1,global/US-hosted,concept,Country or geographic study location,medium,"AACT countries/facilities"
H1-C05,H1,global/US-hosted,concept,Intervention under study,high,"ClinicalTrials.gov intervention module"
H1-C06,H1,global/US-hosted,concept,Condition or disease under study,medium,"study conditions"
H1-C07,H1,global/US-hosted,concept,Study outcome or outcome measure,medium,"design/results outcomes"
H1-C08,H1,global/US-hosted,concept,Study arm or participant group,medium,"design/result groups"
H1-C09,H1,global/US-hosted,concept,Clinical study phase,medium,"study phase"
H1-C10,H1,global/US-hosted,concept,Overall study status,medium,"recruiting/completed/etc."
H1-C11,H1,global/US-hosted,concept,Enrollment or participant-count observation,medium,"aggregate enrollment/count semantics"
H1-R01,H1,global/US-hosted,relation,Study is sponsored or managed by organization,high,"study-sponsor relationship"
H1-R02,H1,global/US-hosted,relation,Study is conducted at facility,high,"study-facility relationship"
H1-R03,H1,global/US-hosted,relation,Facility is located in geographic area or country,medium,"facility/country location"
H1-R04,H1,global/US-hosted,relation,Study investigates intervention,high,"study-intervention relationship"
H1-R05,H1,global/US-hosted,relation,Study concerns condition,medium,"study-condition relationship"
H1-R06,H1,global/US-hosted,relation,Study defines or reports outcome,medium,"study-outcome relationship"
H1-R07,H1,global/US-hosted,relation,Study has arm or participant group,medium,"study-group relationship"
H1-R08,H1,global/US-hosted,relation,Study has lifecycle state or phase,medium,"study-status/phase relationship"
H2-C01,H2,United States,concept,Medicine shortage case or situation,high,"Drug Shortages endpoint"
H2-C02,H2,United States,concept,Medicinal product identity,high,"generic/proprietary/product identifiers"
H2-C03,H2,United States,concept,Pharmaceutical substance or generic ingredient,high,"generic_name/openFDA substance identifiers"
H2-C04,H2,United States,concept,Product presentation or package,high,"presentation/package_ndc"
H2-C05,H2,United States,concept,Company or responsible organization,medium,"company_name"
H2-C06,H2,United States,concept,Availability state or availability observation,high,"availability"
H2-C07,H2,United States,concept,Shortage reason,medium,"shortage_reason"
H2-C08,H2,United States,concept,Therapeutic category or classification,medium,"therapeutic_category"
H2-C09,H2,United States,concept,Dosage form,medium,"dosage_form"
H2-C10,H2,United States,concept,Strength specification,medium,"strength"
H2-C11,H2,United States,concept,Shortage status or update state,high,"status/update_type"
H2-R01,H2,United States,relation,Shortage affects medicinal product,high,"shortage-product association"
H2-R02,H2,United States,relation,Shortage affects presentation or package,high,"presentation/package context"
H2-R03,H2,United States,relation,Company is associated with shortage record or affected product,medium,"company_name context"
H2-R04,H2,United States,relation,Shortage has reason or causal explanation,medium,"shortage_reason"
H2-R05,H2,United States,relation,Product is assigned therapeutic category,medium,"therapeutic_category"
H2-R06,H2,United States,relation,Shortage or report has temporal lifecycle dates,medium,"initial_posting/update/change/discontinued dates"
H2-R07,H2,United States,relation,Shortage is contextualized by regulatory jurisdiction,high,"U.S. FDA source context"
H3-C01,H3,India,concept,Essential-medicine contextual classification,high,"NLEM inclusion status"
H3-C02,H3,India,concept,Medicine identity or active-moiety entity,high,"medicine entries"
H3-C03,H3,India,concept,Dosage-form specification,high,"dosage form(s)"
H3-C04,H3,India,concept,Strength specification,high,"strength(s)"
H3-C05,H3,India,concept,Essential-medicines list and version,high,"NLEM 2022"
H3-C06,H3,India,concept,National jurisdiction context,high,"India"
H3-C07,H3,India,concept,Therapeutic section or category,medium,"NLEM therapeutic sections"
H3-C08,H3,India,concept,Healthcare level Primary Secondary or Tertiary,medium,"P/S/T stratification"
H3-R01,H3,India,relation,Essential classification applies to medicine,high,"NLEM membership"
H3-R02,H3,India,relation,Essential classification is scoped to jurisdiction,high,"country-specific list"
H3-R03,H3,India,relation,Essential classification belongs to list or version,high,"NLEM 2022 context"
H3-R04,H3,India,relation,Medicine has dosage form and strength formulation,high,"listed formulation semantics"
H3-R05,H3,India,relation,Medicine is grouped in therapeutic section,medium,"section/category"
H3-R06,H3,India,relation,Medicine is recommended or applicable at healthcare level,medium,"P/S/T level"
