claim_id,claim_short,primary_evidence,current_status,gate_f_recommendation,manuscript_section,safe_claim_boundary
C-01,Broader ecosystem coverage than V1,"E7;E8;V1-V2 migration matrix",BOUNDED,NARROW,"Introduction;Discussion","Qualitative/design expansion and source-semantic coverage are evidenced, but no like-for-like quantitative V1 denominator exists; do not claim a percentage improvement over V1."
C-02,Data-grounded ontology evolution,"E6;E7;W2-W3 provenance",SUPPORTED_WITH_BOUNDARY,APPROVE_BOUNDED,"Method;Concept discovery","Discovery/mapping is grounded in admitted real source schemas and evidence; W6 reference execution still uses schema-faithful fixtures rather than full-source ingestion."
C-03,Explicit UFO/OntoUML commitments,"E3;E2",SUPPORTED_WITH_WARNING,APPROVE_BOUNDED,"Conceptualization;Evaluation","Project-native checks preserve Gate-D commitments and protected distinctions; do not claim official OntoUML-tool certification."
C-04,Ontology-RDB-KG semantic traceability,"E10;E13",SUPPORTED_WITH_BOUNDARY,APPROVE_BOUNDED,"Data infrastructure;Evaluation","Supported for registered mappings, reference realization and frozen benchmarks; not universal lossless bidirectional equivalence."
C-05,Cross-jurisdiction generalizability,"E8",SUPPORTED_WITH_BOUNDARY,APPROVE_BOUNDED,"Evaluation;Discussion","Bound to H1-H3 first-pass evidence; H2/H3 transfer is stronger than H1 clinical-trial coverage; not global completeness."
C-06,Reproducible selected analytics/resilience tasks,"E11;E12;E13",SUPPORTED_WITH_BOUNDARY,APPROVE_SELECTED_ONLY,"Evaluation;Applications","Only benchmark-eligible AN-08 and frozen resilience scenarios are supported; unsupported AI/predictive tasks remain deferred."
C-07,Cross-source identity/geography/time/provenance are material integration needs,"E6;E7;E8",SUPPORTED,APPROVE,"Requirements;Discussion","Supported as observed integration requirements across evaluated source families, not as universal requirements for every pharmaceutical dataset."
C-08,Actor/facility geospatial integration is defensible demonstrator,"E10;E12;W6 PostGIS design",DESIGN_SUPPORTED,DEFER_EFFECTIVENESS_TO_W8,"Applications","Representability, provenance and query mechanics are supported; usability/effectiveness is a W8 application claim."
C-09,Supply vulnerability/resilience is defensible demonstrator,"E12",SUPPORTED_WITH_BOUNDARY,APPROVE_BOUNDED,"Applications;Discussion","Controlled scenario-level representational adequacy is supported; no predictive, causal or operational-resilience effectiveness claim."
C-10,AI claims require benchmark evidence,"E11",SUPPORTED,APPROVE,"Method;Limitations","No AI novelty/performance claim is supported without task/data/baseline/metric evidence; current AI candidates are deferred."
C-11,Multi-source discovery rather than one-schema specification,"E6;E7;W2-W3",SUPPORTED,APPROVE,"Method","Supported as research-design discipline across multiple admitted sources; not a completeness claim."
C-12,Reserved held-out sources for generalizability,"E8",SUPPORTED,APPROVE,"Method;Evaluation","First-pass held-out evaluation occurred before adaptation and contamination discipline was preserved."
C-13,No complete global product-supplier-buyer-shipment reconstruction claim,"E7;E8",SUPPORTED_LIMITATION,APPROVE_LIMITATION,"Limitations","Current public evidence is insufficient for complete global transaction-level reconstruction; this is an evidence boundary, not proof of impossibility."
C-14,DOI anchors and authoritative operational sources have complementary roles,"E6;W2",SUPPORTED,APPROVE,"Data protocol","Source-role and provenance differences are explicit; quantitative field mapping is strongest for frozen P1/P2 contracts."
C-15,Organization/Role/Facility distinction,"E3;E10",SUPPORTED,APPROVE,"Conceptualization;Evaluation","Distinction is preserved conceptually, formally and through evaluated representations."
C-16,Product/Substance/Presentation/Form/Strength/Package distinctions,"E3;E6;E7",SUPPORTED,APPROVE,"Conceptualization;Evaluation","Principal distinctions are preserved and source-grounded where corresponding fields exist."
C-17,Essential/Critical medicine as contextual classification,"E3;E6;E8",SUPPORTED,APPROVE,"Conceptualization;Evaluation","Contextual assignment pattern is preserved and compatible with held-out essential-medicine evidence."
C-18,Shortage/availability/demand/supply require context and evidence semantics,"E3;E5;E6;E8",SUPPORTED_WITH_BOUNDARY,APPROVE_BOUNDED,"Conceptualization;Evaluation","Evaluated mappings and constraints preserve context/provenance; not all source-specific shortage semantics are fully modeled."
C-19,Provenance/identifier/mapping assertions are first-class infrastructure,"E6;E10;E13",SUPPORTED,APPROVE,"Data infrastructure;Evaluation","Traceability and reproducibility evidence supports this architectural claim."
C-20,Business Architecture is optional extension,"E3",SUPPORTED,APPROVE,"Architecture;Discussion","BA remains outside Core; extension-specific formalization warnings do not invalidate Core."
C-21,Regulatory authorization/registration distinct from records/identifiers,"E3;E6",SUPPORTED,APPROVE,"Conceptualization;Evaluation","Distinction is preserved; mapping decisions avoid collapsing regulatory semantics into source artifacts."
C-22,Observation Activity distinct from Observation Result,"E3;E5;E6;E10",SUPPORTED,APPROVE,"Conceptualization;Evaluation","The model does not fabricate activity instances from aggregate results and preserves the distinction across evaluated layers."
C-23,Supply Capacity distinct from evidence about capacity,"E3;E5;E6",SUPPORTED_WITH_WARNING,APPROVE_BOUNDED,"Conceptualization;Evaluation","Mode/result distinction is preserved; broader bearer/dependence semantics remain a bounded formalization area."
C-24,Risk/Resilience remains modular extension,"E3;E12",SUPPORTED_WITH_WARNING,APPROVE_BOUNDED,"Architecture;Discussion","Module boundary is defensible; Vulnerability bearer and recovery/treatment-link semantics remain explicit extension gaps."
C-25,Deterministic formal ontology generation,"E1;E13",SUPPORTED,APPROVE,"Formalization;Reproducibility","Two clean rebuilds reproduce the frozen ontology fingerprint and byte-identical canonical artifacts."
C-26,OWL 2 DL and multi-reasoner logical processability,"E2;E13",SUPPORTED_WITH_WARNING,APPROVE_BOUNDED,"Formalization;Evaluation","OWL 2 DL and HermiT/JFact named-class results pass; six project-native datatype compatibility warnings bound datatype-level claims."
C-27,Equivalent asserted RDF graph across serializations,"E1;E13",SUPPORTED,APPROVE,"Formalization;Reproducibility","Graph equivalence and clean rebuild evidence support the asserted-graph claim."
C-28,Executable SHACL research-integrity shapes,"E5;E13",SUPPORTED_WITH_BOUNDARY,APPROVE_BOUNDED,"Formalization;Evaluation","Shapes are executable and detect predefined mutations; universal source-data conformance is not implied."
C-29,PostgreSQL/PostGIS preserves selected distinctions/provenance,"E10;E13",SUPPORTED_WITH_BOUNDARY,APPROVE_BOUNDED,"Data infrastructure;Evaluation","Supported for the registered reference schema/fixture and mapped semantics."
C-30,Deterministic RDB-to-RDF ABox projection,"E10;E13",SUPPORTED,APPROVE,"Data infrastructure;Reproducibility","398-triple reference ABox and frozen KG fingerprint are deterministically reproduced."
C-31,Selected SQL/SPARQL query equivalence,"E10;E11;E13",SUPPORTED_WITH_BOUNDARY,APPROVE_BOUNDED,"Evaluation","4/4 frozen paired benchmarks agree; universal SQL/SPARQL equivalence is not claimed."
C-32,Auditable cross-source entity-match assertions,"E10",MECHANICS_SUPPORTED,DEFER_ACCURACY,"Data infrastructure;Limitations","Representation of match evidence/confidence is supported; real-world entity-resolution precision/recall is not evaluated."
