requirement_id,source_id,source_family,evidence_basis,requirement_type,normalized_semantic,coverage_status,ontology_targets,critical,representation_note
P1-C01,P1-NHIF-OUTPATIENT,NHIF outpatient,DOI-backed schema,concept,Administrative region,represented,cmpe:AdministrativeRegion,yes,Region identity is represented as geography not jurisdiction
P1-C02,P1-NHIF-OUTPATIENT,NHIF outpatient,DOI-backed schema,concept,Product classification scheme and entry,represented,cmpe:ProductClassificationScheme;cmpe:ClassificationEntry,yes,ATC is represented as classification not product identity
P1-C03,P1-NHIF-OUTPATIENT,NHIF outpatient,DOI-backed schema,concept,Source-scoped product identifier,represented,cmpe:IdentifierScheme;cmpe:IdentifierAssignment,yes,NHIF code is an assignment under a scheme
P1-C04,P1-NHIF-OUTPATIENT,NHIF outpatient,DOI-backed schema,concept,Marketed product lexicalization,partial,cmpe:MedicinalProduct,no,Preferred label is stored but lexical designation is not a separate conceptual type
P1-C05,P1-NHIF-OUTPATIENT,NHIF outpatient,DOI-backed schema,concept,Package configuration and presentation,represented,cmpe:PackageConfiguration;cmpe:MedicinalProductPresentation,yes,Packaging and pack-size semantics are preserved as presentation/package structure
P1-C06,P1-NHIF-OUTPATIENT,NHIF outpatient,DOI-backed schema,concept,Strength or concentration,represented,cmpe:Strength;cmpe:MedicinalProductPresentation,yes,Strength is distinct from product identity
P1-C07,P1-NHIF-OUTPATIENT,NHIF outpatient,DOI-backed schema,concept,Diagnosis classification reference,represented,cmpe:DiagnosisClassificationReference,no,Market-access extension concept
P1-C08,P1-NHIF-OUTPATIENT,NHIF outpatient,DOI-backed schema,concept,Aggregate reimbursement and utilisation observation,represented,cmpe:ReimbursementUtilisationObservationResult;cmpe:MeasureValue,yes,Aggregate patient/package/cost measures do not create patient individuals
P1-R01,P1-NHIF-OUTPATIENT,NHIF outpatient,DOI-backed schema,relation,Observation about product or presentation,represented,cmpe:observationResultAbout,yes,Explicit aboutness relation
P1-R02,P1-NHIF-OUTPATIENT,NHIF outpatient,DOI-backed schema,relation,Observation in administrative region,partial,cmpe:ObservationResult;cmpe:AdministrativeRegion,yes,Spatial link is implemented with external dct:spatial in the reference KG rather than an internal CM-PharmE property
P1-R03,P1-NHIF-OUTPATIENT,NHIF outpatient,DOI-backed schema,relation,Observation for diagnosis classification,partial,cmpe:ReimbursementUtilisationObservationResult;cmpe:DiagnosisClassificationReference,no,Diagnosis is represented but no dedicated ontology property currently binds it
P1-R04,P1-NHIF-OUTPATIENT,NHIF outpatient,DOI-backed schema,relation,Source record supports observation assertion,represented,cmpe:EvidenceSupport;cmpe:evidenceRecord;cmpe:evidenceAssertion,yes,First-class evidence relator preserves source traceability
P2-C01,P2-NHIF-INPATIENT,NHIF inpatient,DOI-backed schema,concept,Healthcare facility or site,represented,cmpe:Facility,yes,Facility identity is distinct from organization identity
P2-C02,P2-NHIF-INPATIENT,NHIF inpatient,DOI-backed schema,concept,Facility identifier,represented,cmpe:IdentifierScheme;cmpe:IdentifierAssignment,yes,Hospital code is a source-scoped facility identifier
P2-C03,P2-NHIF-INPATIENT,NHIF inpatient,DOI-backed schema,concept,Medicinal product presentation,represented,cmpe:MedicinalProduct;cmpe:MedicinalProductPresentation,yes,Product and presentation layers are distinct
P2-C04,P2-NHIF-INPATIENT,NHIF inpatient,DOI-backed schema,concept,Diagnosis classification,represented,cmpe:DiagnosisClassificationReference,no,Diagnosis reference retained as extension concept
P2-C05,P2-NHIF-INPATIENT,NHIF inpatient,DOI-backed schema,concept,Facility-product-period reimbursement observation,represented,cmpe:ReimbursementUtilisationObservationResult;cmpe:ReportingPeriod,yes,Aggregate observation semantics are explicit
P2-R01,P2-NHIF-INPATIENT,NHIF inpatient,DOI-backed schema,relation,Facility located in region,represented,cmpe:locatedIn,yes,Physical geography relation
P2-R02,P2-NHIF-INPATIENT,NHIF inpatient,DOI-backed schema,relation,Observation associated with facility,partial,cmpe:Facility;cmpe:ReimbursementUtilisationObservationResult,no,Association is present in RDB projection but lacks a dedicated CM-PharmE object property
P2-R03,P2-NHIF-INPATIENT,NHIF inpatient,DOI-backed schema,relation,Observation about presentation,represented,cmpe:observationResultAbout,yes,Reference implementation uses presentation as principal aboutness target
P3-C01,P3-FDA-ACTORS,FDA actors and facilities,authoritative operational schema,concept,Organization or establishment operator,represented,cmpe:Organization,yes,Organization identity is explicit
P3-C02,P3-FDA-ACTORS,FDA actors and facilities,authoritative operational schema,concept,Drug establishment physical site,represented,cmpe:Facility,yes,Site identity remains distinct from operator
P3-C03,P3-FDA-ACTORS,FDA actors and facilities,authoritative operational schema,concept,Establishment registration,represented,cmpe:EstablishmentRegistration,yes,Registration is a relator not a facility identity
P3-C04,P3-FDA-ACTORS,FDA actors and facilities,authoritative operational schema,concept,Manufacturer importer distributor and 3PL roles,represented,cmpe:ManufacturerRole;cmpe:ImporterRole;cmpe:WholesaleDistributorRole;cmpe:ThirdPartyLogisticsProviderRole,yes,Operational roles are anti-rigid contextual roles
P3-C05,P3-FDA-ACTORS,FDA actors and facilities,authoritative operational schema,concept,Regulatory jurisdiction,represented,cmpe:RegulatoryJurisdiction,yes,Jurisdiction distinct from physical geography
P3-R01,P3-FDA-ACTORS,FDA actors and facilities,authoritative operational schema,relation,Organization operates facility,represented,cmpe:FacilityOperation;cmpe:operates;cmpe:operationOrganization;cmpe:operationFacility,yes,Typed relator supports operator-site distinction
