diagram_id,title,domains,concepts,properties,coverage_note
DGM-ONT-002,"V2 ontology architecture — Core, X-INFRA and Extensions",Ecosystem Organization; Facility Operations; Regulatory Governance; Pharmaceutical Product; Supply Operations; Ecosystem Observation; Spatiotemporal Context; Evidence Traceability; Entity Identity; Regulatory Policy; Supply Resilience; Market Access; Risk Management; Pharmacovigilance; Business Architecture; Digital Systems; Clinical Care,,,All 17 V2 domains represented at module level; no cross-module semantic relation is implied by placement.
DGM-ONT-003,V2 Core ontology overview,Ecosystem Organization; Facility Operations; Regulatory Governance; Pharmaceutical Product; Supply Operations; Ecosystem Observation,,,All six Core domains represented; note boxes cite selected explicit OWL object-property spans without implying package-level cardinality.
DGM-ONT-004,Ecosystem Organization and Facility Operations,Ecosystem Organization; Facility Operations,DistributionSiteRole; EcosystemParticipant; Facility; FacilityOperation; ImporterRole; ManufacturerRole; ManufacturingSiteRole; Organization; ProductResponsibleLabelerRole; RegulatoryAuthorityRole; ThirdPartyLogisticsProviderRole; WholesaleDistributorRole,operates; operationFacility; operationOrganization,All 12 concepts in the two domains are shown.
DGM-ONT-005,Pharmaceutical Product and Classification,Pharmaceutical Product; Ecosystem Organization; Regulatory Governance,ClassificationEntry; DosageFormSpecification; MarketListing; MedicinalProduct; MedicinalProductPresentation; Organization; PackageConfiguration; PharmaceuticalSubstance; ProductClassificationAssignment; ProductClassificationScheme; RegulatoryJurisdiction; Strength,classificationEntity; classificationEntry; entryInScheme; hasActiveSubstance; hasDosageForm; hasPackageConfiguration; hasStrength; listingJurisdiction; listingPresentation; listingResponsibleOrganization; presentationOf,"All 10 Pharmaceutical Product concepts are shown, plus explicit cross-domain listing endpoints."
DGM-ONT-006,Evidence and Provenance,Evidence Traceability,Assertion; DataQualityFinding; DataSourceResource; Dataset; DatasetRelease; EvidenceItem; EvidenceSupport; MappingAssertion; ObservationActivity; ObservationResult; ProvenanceActivity; SourceRecord,containsSourceRecord; evidenceAssertion; evidenceRecord; generatedAssertion; hasDatasetRelease; maintainsDataset; producesObservationResult; usedSourceArtifact,12 of 13 concepts shown; MeasureValue datatype remains documented in the module/concept reference rather than crowded into this relation-centric view.
DGM-ONT-007,"Geography, Jurisdiction and Time",Spatiotemporal Context; Facility Operations; Regulatory Governance,Address; AdministrativeRegion; Country; Facility; GeographicFeature; GeospatialPosition; RegulatoryJurisdiction; ReportingPeriod; TimeInterval,locatedIn; withinCountry; withinRegion,"All 7 Spatiotemporal Context concepts are shown, with protected cross-domain distinctions."
DGM-ONT-008,Identity and Entity Matching,Entity Identity; Evidence Traceability,Assertion; EntityMatchAssertion; IdentifierAssignment; IdentifierScheme; IdentifierValue; MatchConfidence,hasMatchConfidence; identifierEntity; identifierScheme; matchObject; matchSubject,All 5 Entity Identity concepts shown; unspecified object-property endpoints remain explicit notes rather than inferred classes.
DGM-ONT-009,Supply Operations and Shortage,Supply Operations; Ecosystem Observation; Pharmaceutical Product; Regulatory Governance; Evidence Traceability,AvailabilityObservationResult; DemandObservationResult; DistributionLogisticsActivity; ManufacturingActivity; MedicinalProduct; MedicinalProductPresentation; MedicineShortageSituation; ObservationResult; RegulatoryJurisdiction; SupplyCapacity; SupplyCapacityObservationResult,capacityBearer; observationResultAbout; shortageJurisdiction; shortagePresentation; shortageProduct,All Supply Operations and Ecosystem Observation concepts shown; explicit shortage relations and unspecified aboutness/bearer endpoints preserved.
DGM-ONT-010,Supply Resilience and Risk — adjacent extension views,Supply Resilience; Risk Management,AlternativeMedicinalProductRole; AlternativeMedicineAssignment; AssetAtRisk; ContextualMedicineClassificationAssignment; CriticalMedicineClassification; DisruptionEvent; EssentialMedicineClassification; InventoryObservationResult; LeadTimeObservationResult; ProcurementActivity; RiskAssessmentActivity; RiskTreatmentActivity; RiskTreatmentPlan; StockoutSituation; SupplyDependency; Vulnerability,dependencyDependent; disruptionAffects; riskAssessmentConcerns; riskTreatmentAddresses,All 11 Supply Resilience and all 5 Risk Management concepts shown. The view explicitly states that no formal cross-domain object property is asserted.
DGM-ONT-011,V2 extension landscape,Regulatory Policy; Supply Resilience; Market Access; Risk Management; Pharmacovigilance; Business Architecture; Digital Systems; Clinical Care,,,All eight Extension domains represented at module level; omission of entity-level edges is deliberate to preserve readability.
