concept_id,domain_id,mapping_role,mapping_status
CMPE-C0001,CMPE-D0001,primary,initial-curated
CMPE-C0001,CMPE-D0002,additional,initial-curated
CMPE-C0002,CMPE-D0001,primary,initial-curated
CMPE-C0003,CMPE-D0001,primary,initial-curated
CMPE-C0003,CMPE-D0002,additional,initial-curated
CMPE-C0004,CMPE-D0004,primary,initial-curated
CMPE-C0004,CMPE-D0002,additional,initial-curated
CMPE-C0005,CMPE-D0001,primary,initial-curated
CMPE-C0006,CMPE-D0001,primary,initial-curated
CMPE-C0007,CMPE-D0001,primary,initial-curated
CMPE-C0007,CMPE-D0003,additional,initial-curated
CMPE-C0008,CMPE-D0002,primary,initial-curated
CMPE-C0009,CMPE-D0002,primary,initial-curated
CMPE-C0010,CMPE-D0002,primary,initial-curated
CMPE-C0011,CMPE-D0002,primary,initial-curated
CMPE-C0012,CMPE-D0002,primary,initial-curated
CMPE-C0012,CMPE-D0004,additional,initial-curated
CMPE-C0013,CMPE-D0002,primary,initial-curated
CMPE-C0013,CMPE-D0004,additional,initial-curated
CMPE-C0014,CMPE-D0002,primary,initial-curated
CMPE-C0015,CMPE-D0003,primary,initial-curated
CMPE-C0015,CMPE-D0001,additional,initial-curated
CMPE-C0016,CMPE-D0003,primary,initial-curated
CMPE-C0017,CMPE-D0003,primary,initial-curated
CMPE-C0018,CMPE-D0003,primary,initial-curated
CMPE-C0019,CMPE-D0003,primary,initial-curated
CMPE-C0019,CMPE-D0001,additional,initial-curated
CMPE-C0020,CMPE-D0001,primary,initial-curated
CMPE-C0020,CMPE-D0003,additional,initial-curated
CMPE-C0021,CMPE-D0003,primary,initial-curated
CMPE-C0021,CMPE-D0001,additional,initial-curated
CMPE-C0022,CMPE-D0003,primary,initial-curated
CMPE-C0022,CMPE-D0004,additional,initial-curated
CMPE-C0023,CMPE-D0004,primary,initial-curated
CMPE-C0023,CMPE-D0002,additional,initial-curated
CMPE-C0024,CMPE-D0004,primary,initial-curated
CMPE-C0025,CMPE-D0001,primary,initial-curated
CMPE-C0025,CMPE-D0004,additional,initial-curated
CMPE-C0026,CMPE-D0004,primary,initial-curated
CMPE-C0027,CMPE-D0004,primary,initial-curated
CMPE-C0028,CMPE-D0004,primary,initial-curated
CMPE-C0028,CMPE-D0003,additional,initial-curated
CMPE-C0029,CMPE-D0005,primary,initial-curated
CMPE-C0030,CMPE-D0005,primary,initial-curated
CMPE-C0030,CMPE-D0003,additional,initial-curated
CMPE-C0031,CMPE-D0005,primary,initial-curated
CMPE-C0031,CMPE-D0003,additional,initial-curated
CMPE-C0032,CMPE-D0002,primary,initial-curated
CMPE-C0032,CMPE-D0003,additional,initial-curated
CMPE-C0033,CMPE-D0005,primary,initial-curated
CMPE-C0033,CMPE-D0003,additional,initial-curated
CMPE-C0034,CMPE-D0005,primary,initial-curated
CMPE-C0034,CMPE-D0003,additional,initial-curated
CMPE-C0035,CMPE-D0005,primary,initial-curated
CMPE-C0035,CMPE-D0003,additional,initial-curated
CMPE-C0036,CMPE-D0004,primary,initial-curated
CMPE-C0036,CMPE-D0003,additional,initial-curated
CMPE-C0037,CMPE-D0003,primary,initial-curated
CMPE-C0037,CMPE-D0004,additional,initial-curated
CMPE-C0038,CMPE-D0005,primary,initial-curated
CMPE-C0038,CMPE-D0004,additional,initial-curated
CMPE-C0038,CMPE-D0003,additional,initial-curated
CMPE-C0039,CMPE-D0002,primary,initial-curated
